a lizard
a lobster
a mosquito
a moth
a mouse
a panda
a parrot
a pelecaniformes
a penguin
a pig
a pigeon
a porcupine
a possum
a raccoon
a rat
a reindeer
a rhinoceros
a sandpiper
a seahorse
a seal
a shark
a sheep
a snake
a sparrow
a squid
a squirrel
a starfish
a swan
a tiger
a turkey
a turtle
a whale
a wolf
a wombat
a woodpecker
a zebra
